INFO:root:[2024-02-16 12:16:29] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:17:23] Matched players: liam, dan
INFO:root:[2024-02-16 12:20:50] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:21:10] Matched players: liam, dan
INFO:root:[2024-02-16 12:21:55] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:22:10] Matched players: dan, liam
INFO:root:[2024-02-16 12:29:23] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:29:45] Matched players: liam, dan
INFO:root:[2024-02-16 12:35:28] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:35:56] Matched players: liam, dan
INFO:root:[2024-02-16 12:41:41] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:41:57] Matched players: liam, dan
INFO:root:[2024-02-16 12:45:20] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:45:33] Matched players: liam, dan
INFO:root:[2024-02-16 12:49:05] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 12:49:37] Matched players: liam, dan
INFO:root:[2024-02-16 14:33:50] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:38:11] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:42:09] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:42:25] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:43:54] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:44:14] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:44:26] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:45:24] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:45:38] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:46:46] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:46:57] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:48:48] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:48:57] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:49:53] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:50:08] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:52:53] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:53:19] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:54:09] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:54:19] Matched players: liam, yoavB
INFO:root:[2024-02-16 14:55:44] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 14:55:57] Matched players: liam, yoavB
INFO:root:[2024-02-16 15:31:05] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 15:31:37] Matched players: liam, yoavB
INFO:root:[2024-02-16 18:22:44] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 18:23:03] Matched players: liam, dan
INFO:root:[2024-02-16 18:23:59] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 18:24:09] Matched players: liam, dan
INFO:root:[2024-02-16 20:53:56] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 20:54:21] Matched players: liam, dan
INFO:root:[2024-02-16 21:33:31] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 21:33:50] Matched players: liam, dan
INFO:root:[2024-02-16 22:05:42] Function match_players called with args: (), kwargs: {}
INFO:root:[2024-02-16 22:06:03] Matched players: liam, dan
